iter	Passed	Remaining
0	2	901
1	5	1178
2	8	1088
3	11	1107
4	13	1082
5	15	1030
6	19	1068
7	21	1032
8	24	1045
9	27	1071
10	30	1063
11	33	1079
12	36	1072
13	39	1098
14	41	1075
15	43	1045
16	46	1041
17	48	1023
18	50	1005
19	51	984
20	54	985
21	56	974
22	58	966
23	60	950
24	63	950
25	65	946
26	67	935
27	69	927
28	71	917
29	73	911
30	75	901
31	78	897
32	80	895
33	82	890
34	85	889
35	87	882
36	89	874
37	90	866
38	93	861
39	94	854
40	96	846
41	98	840
42	100	835
43	102	828
44	104	822
45	105	815
46	107	808
47	109	804
48	111	798
49	113	791
50	114	786
51	116	780
52	118	775
53	120	769
54	121	763
55	123	757
56	125	755
57	127	752
58	129	746
59	131	742
60	132	737
61	134	732
62	136	727
63	137	722
64	139	718
65	141	714
66	143	712
67	144	707
68	146	703
69	148	700
70	150	696
71	151	692
72	153	688
73	155	684
74	157	680
75	158	676
76	160	672
77	161	668
78	163	664
79	165	661
80	166	657
81	168	653
82	170	650
83	172	647
84	174	644
85	175	641
86	178	641
87	179	637
88	181	634
89	183	630
90	185	628
91	187	626
92	189	624
93	190	620
94	192	618
95	194	615
96	196	612
97	197	609
98	199	606
99	201	603
100	203	601
101	205	598
102	206	596
103	208	593
104	210	590
105	211	587
106	213	584
107	215	581
108	217	579
109	218	577
110	220	575
111	222	572
112	224	569
113	225	566
114	227	563
115	229	562
116	231	559
117	232	556
118	234	553
119	236	551
120	237	548
121	239	546
122	241	543
123	242	540
124	244	537
125	246	534
126	247	533
127	249	530
128	251	527
129	253	526
130	255	523
131	256	521
132	258	518
133	260	516
134	261	513
135	263	511
136	264	508
137	266	505
138	268	503
139	270	501
140	272	499
141	273	497
142	275	495
143	277	493
144	279	491
145	281	489
146	282	487
147	284	485
148	286	483
149	288	480
150	290	478
151	291	476
152	293	473
153	294	470
154	296	469
155	299	468
156	301	466
157	303	464
158	304	462
159	306	459
160	307	456
161	309	454
162	311	452
163	313	450
164	314	448
165	316	445
166	318	443
167	319	441
168	321	439
169	323	437
170	324	434
171	326	432
172	328	430
173	329	428
174	331	426
175	333	424
176	335	422
177	336	420
178	338	418
179	340	416
180	342	414
181	344	412
182	345	410
183	348	408
184	349	406
185	351	404
186	353	402
187	354	400
188	356	398
189	358	396
190	360	394
191	363	393
192	364	391
193	366	389
194	368	387
195	370	385
196	371	383
197	373	381
198	375	379
199	377	377
200	379	375
201	380	373
202	382	371
203	384	369
204	386	367
205	388	365
206	390	363
207	392	361
208	394	360
209	396	358
210	398	357
211	400	355
212	403	354
213	406	353
214	408	351
215	411	350
216	413	348
217	415	347
218	417	345
219	420	343
220	422	342
221	425	341
222	427	339
223	428	336
224	430	334
225	432	332
226	434	331
227	437	329
228	440	328
229	442	327
230	444	325
231	446	323
232	448	321
233	451	320
234	454	319
235	457	317
236	459	315
237	461	314
238	464	312
239	466	310
240	468	308
241	470	307
242	473	305
243	476	304
244	478	302
245	480	300
246	482	298
247	485	297
248	488	296
249	491	294
250	494	293
251	497	292
252	500	290
253	503	289
254	506	288
255	508	286
256	510	284
257	513	282
258	516	281
259	520	280
260	522	278
261	524	276
262	526	274
263	530	273
264	533	271
265	536	270
266	539	268
267	541	266
268	544	264
269	547	263
270	550	261
271	553	260
272	555	258
273	558	256
274	562	255
275	565	254
276	568	252
277	570	250
278	573	248
279	575	246
280	579	245
281	582	243
282	585	241
283	587	239
284	589	238
285	592	236
286	595	234
287	598	232
288	601	231
289	604	229
290	606	227
291	609	225
292	612	223
293	615	221
294	617	219
295	619	217
296	621	215
297	623	213
298	626	211
299	628	209
300	631	207
301	634	205
302	636	203
303	637	201
304	639	199
305	642	197
306	645	195
307	648	193
308	651	191
309	653	189
310	656	187
311	659	185
312	662	184
313	665	182
314	667	180
315	669	177
316	672	175
317	675	174
318	677	172
319	680	170
320	683	168
321	685	166
322	688	164
323	691	162
324	694	160
325	697	158
326	699	156
327	701	154
328	704	152
329	707	150
330	710	148
331	713	146
332	716	144
333	719	142
334	722	140
335	725	138
336	727	136
337	729	133
338	731	131
339	733	129
340	735	127
341	738	125
342	741	123
343	743	121
344	745	118
345	747	116
346	750	114
347	753	112
348	756	110
349	758	108
350	761	106
351	764	104
352	766	102
353	769	100
354	772	97
355	776	95
356	779	93
357	782	91
358	785	89
359	788	87
360	791	85
361	793	83
362	796	81
363	798	79
364	801	76
365	804	74
366	805	72
367	807	70
368	809	67
369	810	65
370	812	63
371	814	61
372	816	59
373	818	56
374	821	54
375	823	52
376	826	50
377	828	48
378	830	46
379	833	43
380	837	41
381	840	39
382	842	37
383	844	35
384	846	32
385	849	30
386	852	28
387	855	26
388	858	24
389	860	22
390	863	19
391	866	17
392	869	15
393	872	13
394	874	11
395	877	8
396	880	6
397	883	4
398	886	2
399	889	0
